,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,akcja,animacja,anime,biograficzny,czarnakomedia,dladzieci,dokumentalny,dramat,dramatobyczajowy,familijny,fantasy,gangsterski,horror,komedia,komediakryminalna,komediarom.,kostiumowy,kryminał,melodramat,musical,muzyczny,obyczajowy,przygodowy,romans,sci-fi,sensacyjny,szpiegowski,thriller,western,australia,austria,chiny,dania,fed.rep.jugosławii,francja,grecja,hongkong,irlandia,japonia,koreapołudniowa,niemcy,polska,rpa,tajwan,usa,wielkabrytania,budget,boxoffice,topics_count
0,743233.0,Spider-Man Uniwersum,Spider-Man: Into the Spider-Verse,2018.0,0.0,10.0,USA,"Animacja, Familijny, Akcja",2019-4-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55000000,852031557,593
1,809630.0,Green Book,,2018.0,0.0,10.0,USA,"Dramat, Komedia",2019-4-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,82286993,89
2,693758.0,Avengers: Wojna bez granic,Avengers: Infinity War,2018.0,0.0,10.0,USA,"Akcja, Sci-Fi",2019-4-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,82286993,58
3,760429.0,Deadpool 2,,2018.0,0.0,8.0,USA,"Komedia, Akcja, Sci-Fi",2019-4-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,82286993,137
4,782196.0,Pierwszy człowiek,First Man,2018.0,0.0,10.0,"Japonia, USA","Biograficzny, Dramat",2019-4-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,108333222,215
5,810402.0,Kler,,2018.0,0.0,10.0,Polska,Obyczajowy,2019-4-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34210862,82286993,24
6,807157.0,Upgrade,,2018.0,0.0,6.0,Australia,"Akcja, Sci-Fi",2019-4-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34210862,82286993,5
7,719889.0,Player One,Ready Player One,2018.0,0.0,5.0,USA,"Przygodowy, Akcja, Sci-Fi",2019-4-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5000000,60582764,28
8,773236.0,Czerwona jaskółka,Red Sparrow,2018.0,0.0,8.0,USA,"Thriller, Szpiegowski",2019-4-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,82286993,8
9,519906.0,Venom,,2018.0,0.0,8.0,"Chiny, USA","Akcja, Sci-Fi",2019-4-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34210862,82286993,58
