ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
104541,Charlie i fabryka czekolady,Charlie and the Chocolate Factory,2005,0,8,"USA, Wielka Brytania","Familijny, Fantasy",2010-6-1,Charlie and the Chocolate Factory,2005,"familijny, fantasy",movie,Charlie and the Chocolate Factory,0,\N,115,"Adventure,Comedy,Family",6.6,399813,0,1.4000000000000004,7
1046,Taksówkarz,Taxi Driver,1976,1,8,USA,Dramat,2011-1-15,Taxi Driver,1976,drama,movie,Taxi Driver,0,\N,114,"Crime,Drama",8.3,666196,0,-0.3000000000000007,8
1047,Milczenie owiec,The Silence of the Lambs,1991,0,8,USA,Thriller,2010-6-1,The Silence of the Lambs,1991,thriller,movie,The Silence of the Lambs,0,\N,118,"Crime,Drama,Thriller",8.6,1175910,0,-0.5999999999999996,9
10472,Bilardzista,The Hustler,1961,0,9,USA,Dramat,2019-10-6,The Hustler,1961,drama,movie,The Hustler,0,\N,134,"Drama,Sport",8.0,71850,0,1.0,8
1048,Skazani na Shawshank,The Shawshank Redemption,1994,0,6,USA,Dramat,2010-6-1,The Shawshank Redemption,1994,drama,movie,The Shawshank Redemption,0,\N,142,Drama,9.3,2169898,0,-3.3000000000000007,9
1049,Urodzeni mordercy,Natural Born Killers,1994,0,7,USA,"Dramat, Thriller, Romans",2010-6-1,Natural Born Killers,1994,"drama, thriller, romance",movie,Natural Born Killers,0,\N,118,"Crime,Drama",7.3,204965,0,-0.2999999999999998,7
1052,Braveheart - Waleczne Serce,Braveheart,1995,0,4,USA,Dramat historyczny,2010-6-1,Braveheart,1995,dramat historyczny,movie,Braveheart,0,\N,178,"Biography,Drama,History",8.3,912139,0,-4.300000000000001,8
105575,Kill Bill 2,Kill Bill: Vol. 2,2004,0,5,USA,"Thriller, Akcja",2010-6-1,Kill Bill: Vol. 2,2004,"thriller, action",movie,Kill Bill: Vol. 2,0,\N,137,"Action,Crime,Thriller",8.0,639225,0,-3.0,8
1060,Ostatnie kuszenie Chrystusa,The Last Temptation of Christ,1988,1,10,"Kanada, USA","Dramat, Religijny",2010-6-5,The Last Temptation of Christ,1988,"drama, religijny",movie,The Last Temptation of Christ,0,\N,164,Drama,7.6,48040,0,2.4000000000000004,8
1063,Nagi instynkt,Basic Instinct,1992,0,6,"Francja, USA",Thriller,2014-10-4,Basic Instinct,1992,thriller,movie,Basic Instinct,0,\N,127,"Drama,Mystery,Thriller",7.0,160762,0,-1.0,7
106376,Batman - Początek,Batman Begins,2005,0,7,"USA, Wielka Brytania","Akcja, Sci-Fi",2010-6-1,Batman Begins,2005,"action, sci-fi",movie,Batman Begins,0,\N,140,"Action,Adventure",8.2,1230112,0,-1.1999999999999993,8
1065,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,0,6,"Nowa Zelandia, USA","Fantasy, Przygodowy",2011-1-4,The Lord of the Rings: The Fellowship of the Ring,2001,"fantasy, przygodowy",movie,The Lord of the Rings: The Fellowship of the Ring,0,\N,178,"Adventure,Drama,Fantasy",8.8,1555602,0,-2.8000000000000007,9
10682,Dziewiąte wrota,The Ninth Gate,1999,0,6,"Francja, Hiszpania, USA","Dramat, Horror, Kryminał",2010-6-1,The Ninth Gate,1999,"drama, horror, crime",movie,The Ninth Gate,0,\N,133,"Mystery,Thriller",6.7,156549,0,-0.7000000000000002,7
10701,Inni,The Others,2001,0,8,"Francja, Hiszpania, USA, Włochy",Thriller,2010-6-1,The Others,2001,thriller,movie,The Others,0,\N,101,"Horror,Mystery,Thriller",7.6,320513,0,0.40000000000000036,8
107404,Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,2006,0,5,USA,"Fantasy, Przygodowy",2010-6-1,Pirates of the Caribbean: Dead Man's Chest,2006,"fantasy, przygodowy",movie,Pirates of the Caribbean: Dead Man's Chest,0,\N,151,"Action,Adventure,Fantasy",7.3,625283,0,-2.3,7
107535,Madagaskar,Madagascar,2005,0,8,USA,"Animacja, Familijny",2011-1-4,Madagascar,2005,"animacja, familijny",movie,Madagascar,0,\N,86,"Adventure,Animation,Comedy",6.9,343052,0,1.0999999999999996,7
107554,Nadchodzi Polly,Along Came Polly,2004,0,6,USA,Komedia rom.,2018-12-1,Along Came Polly,2004,komedia rom.,movie,Along Came Polly,0,\N,90,"Comedy,Romance",6.0,120525,0,0.0,6
107555,Obcy kontra Predator,AVP: Alien vs. Predator,2004,0,5,"Czechy, Kanada, Niemcy, USA, Wielka Brytania","Akcja, Sci-Fi",2010-6-2,AVP: Alien vs. Predator,2004,"action, sci-fi",movie,Alien vs. Predator,0,\N,101,"Action,Adventure,Horror",5.6,177197,0,-0.5999999999999996,6
107563,Robot Jox 1: Bezlitośni mordercy,Robot Jox,1989,0,7,USA,"Akcja, Sci-Fi",2015-5-18,Robot Jox,1989,"action, sci-fi",movie,Robot Jox,0,\N,85,"Action,Sci-Fi,Thriller",5.4,5371,0,1.5999999999999996,5
107712,Czarownica,Bewitched,2005,0,3,USA,"Fantasy, Komedia rom.",2017-11-26,Bewitched,2005,"fantasy, komedia rom.",movie,Bewitched,0,\N,102,"Comedy,Fantasy,Romance",4.8,66384,0,-1.7999999999999998,5
108083,Królestwo niebieskie,Kingdom of Heaven,2005,0,3,"Hiszpania, Niemcy, USA, Wielka Brytania, Maroko",Dramat historyczny,2010-6-2,Kingdom of Heaven,2005,dramat historyczny,movie,Kingdom of Heaven,0,\N,144,"Action,Adventure,Drama",7.2,255048,0,-4.2,7
1084,Dzikość serca,Wild at Heart,1990,0,8,USA,"Kryminał, Romans",2012-7-10,Wild at Heart,1990,"crime, romance",movie,Wild at Heart,0,\N,125,"Comedy,Crime,Drama",7.2,76853,0,0.7999999999999998,7
1087,Człowiek słoń,The Elephant Man,1980,0,9,USA,"Biograficzny, Dramat",2010-6-1,The Elephant Man,1980,"biographic, drama",movie,The Elephant Man,0,\N,124,"Biography,Drama",8.1,205459,0,0.9000000000000004,8
1092,Czas Apokalipsy,Apocalypse Now,1979,1,9,USA,"Dramat, Wojenny",2010-6-1,Apocalypse Now,1979,"drama, war",movie,Apocalypse Now,0,\N,147,"Drama,Mystery,War",8.4,566021,0,0.5999999999999996,8
1096,Monty Python i Święty Graal,Monty Python and the Holy Grail,1975,1,10,Wielka Brytania,"Komedia, Kostiumowy, Przygodowy",2010-6-1,Monty Python and the Holy Grail,1975,"comedy, costume, przygodowy",movie,Monty Python and the Holy Grail,0,\N,91,"Adventure,Comedy,Fantasy",8.2,473947,0,1.8000000000000007,8
1099,Żywot Briana,Life of Brian,1979,1,8,Wielka Brytania,Komedia,2010-6-1,Life of Brian,1979,comedy,movie,Monty Python's Life of Brian,0,\N,94,Comedy,8.1,344133,0,-0.09999999999999964,8
