,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi",8.3,561230,924,62,https://www.imdb.com/title/tt0062622/,0062622,62,1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,0,9,"USA, Wielka Brytania",Sci-Fi,2019-2-2,2019,4.5,sci-fi,0,0.6999999999999993,8
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror",8.0,177496,2160,805,https://www.imdb.com/title/tt0063522/,0063522,805,1104,Dziecko Rosemary,Rosemary's Baby,1968,0,5,USA,"Horror, Psychologiczny",2014-5-9,2014,2.5,"horror, psychologiczny",0,-3.0,8
tt0064276,movie,Easy Rider,Easy Rider,0,1969,\N,95,"Adventure,Drama",7.3,93134,3168,624,https://www.imdb.com/title/tt0064276/,0064276,624,1018,Swobodny jeździec,Easy Rider,1969,0,8,USA,Dramat obyczajowy,2011-10-20,2011,4.0,dramat obyczajowy,0,0.7000000000000002,7
tt0064665,movie,Midnight Cowboy,Midnight Cowboy,0,1969,\N,113,"Drama,Western",7.8,93858,1952,3116,https://www.imdb.com/title/tt0064665/,0064665,3116,8182,Nocny kowboj,Midnight Cowboy,1969,0,7,USA,Dramat,2015-2-14,2015,3.5,drama,0,-0.7999999999999998,8
tt0065088,movie,"They Shoot Horses, Don't They?","They Shoot Horses, Don't They?",0,1969,\N,129,Drama,7.9,15147,3011,28145,https://www.imdb.com/title/tt0065088/,0065088,28145,32735,Czyż nie dobija się koni?,"They Shoot Horses, Don't They?",1969,0,6,USA,Dramat,2011-10-19,2011,3.0,drama,0,-1.9000000000000004,8
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Drama,Sci-Fi",8.3,710895,1206,185,https://www.imdb.com/title/tt0066921/,0066921,185,1275,Mechaniczna pomarańcza,A Clockwork Orange,1971,0,10,"USA, Wielka Brytania","Dramat, Sci-Fi",2011-9-1,2011,5.0,"drama, sci-fi",0,1.6999999999999993,8
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama",9.2,1495196,858,238,https://www.imdb.com/title/tt0068646/,0068646,238,1089,Ojciec chrzestny,The Godfather,1972,0,7,USA,"Dramat, Gangsterski",2011-8-4,2011,3.5,"drama, gangsterski",0,-2.1999999999999993,9
tt0070047,movie,The Exorcist,The Exorcist,0,1973,\N,122,Horror,8.0,343452,1997,9552,https://www.imdb.com/title/tt0070047/,0070047,9552,1315,Egzorcysta,The Exorcist,1973,0,9,USA,Horror,2011-10-20,2011,4.5,horror,0,1.0,8
tt0071877,movie,Murder on the Orient Express,Murder on the Orient Express,0,1974,\N,128,"Crime,Drama,Mystery",7.3,51218,8879,4176,https://www.imdb.com/title/tt0071877/,0071877,4176,7846,Morderstwo w Orient Expressie,Murder on the Orient Express,1974,0,6,Wielka Brytania,Kryminał,2016-3-1,2016,3.0,crime,0,-1.2999999999999998,7
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama,8.7,856923,1193,510,https://www.imdb.com/title/tt0073486/,0073486,510,1019,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,1975,0,8,USA,"Dramat, Psychologiczny",2017-6-17,2017,4.0,"drama, psychologiczny",0,-0.6999999999999993,9
tt0073540,movie,Picnic at Hanging Rock,Picnic at Hanging Rock,0,1975,\N,115,"Drama,Mystery",7.5,31219,1913,11020,https://www.imdb.com/title/tt0073540/,0073540,11020,30680,Piknik pod Wiszącą Skałą,Picnic at Hanging Rock,1975,0,6,Australia,Dramat,2011-9-1,2011,3.0,drama,0,-1.5,8
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,"Crime,Drama",8.3,666517,111,103,https://www.imdb.com/title/tt0075314/,0075314,103,1046,Taksówkarz,Taxi Driver,1976,0,8,USA,Dramat,2011-9-1,2011,4.0,drama,0,-0.3000000000000007,8
tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi",8.4,737062,1214,348,https://www.imdb.com/title/tt0078748/,0078748,348,980,"Obcy - 8. pasażer ""Nostromo""",Alien,1979,0,8,"USA, Wielka Brytania","Horror, Sci-Fi",2011-10-18,2011,4.0,"horror, sci-fi",0,-0.40000000000000036,8
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,"Drama,Horror",8.4,823572,1258,694,https://www.imdb.com/title/tt0081505/,0081505,694,1020,Lśnienie,The Shining,1980,0,7,"USA, Wielka Brytania",Horror,2011-8-4,2011,3.5,horror,0,-1.4000000000000004,8
tt0088247,movie,The Terminator,The Terminator,0,1984,\N,107,"Action,Sci-Fi",8.0,755479,1240,218,https://www.imdb.com/title/tt0088247/,0088247,218,995,Terminator,The Terminator,1984,0,6,"USA, Wielka Brytania","Akcja, Sci-Fi",2018-8-4,2018,3.0,"action, sci-fi",0,-2.0,8
tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi",8.5,970814,1270,105,https://www.imdb.com/title/tt0088763/,0088763,105,8823,Powrót do przyszłości,Back to the Future,1985,0,6,USA,"Komedia, Przygodowy, Sci-Fi",2011-8-4,2011,3.0,"comedy, przygodowy, sci-fi",0,-2.5,8
tt0090605,movie,Aliens,Aliens,0,1986,\N,137,"Action,Adventure,Sci-Fi",8.4,616923,1200,679,https://www.imdb.com/title/tt0090605/,0090605,679,994,Obcy - decydujące starcie,Aliens,1986,0,8,USA,"Horror, Sci-Fi",2011-10-19,2011,4.0,"horror, sci-fi",0,-0.40000000000000036,8
