tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0986263,movie,Surrogates,Surrogates,0,2009,\N,89,"Action,Crime,Sci-Fi",6.3,164950,430428,Surogaci,Surrogates,2009,0,7,USA,"Thriller, Sci-Fi",2018-11-15,3.5,"thriller, sci-fi",0,0.7000000000000002,6
tt0918927,movie,Doubt,Doubt,0,2008,\N,104,"Drama,Mystery",7.5,115943,432908,Wątpliwość,Doubt,2008,0,6,USA,Dramat obyczajowy,2011-10-22,3.0,dramat obyczajowy,0,-1.5,8
tt1008010,movie,The Narrows,The Narrows,0,2008,\N,106,"Crime,Drama,Thriller",6.2,1458,435340,Ulica Narrows,The Narrows,2008,0,6,USA,"Dramat, Kryminał, Thriller",2013-12-12,3.0,"drama, crime, thriller",0,-0.20000000000000018,6
tt1032819,movie,Powder Blue,Powder Blue,0,2009,\N,106,Drama,6.3,13667,436781,Błękitny deszcz,Powder Blue,2009,0,6,USA,Dramat,2013-12-9,3.0,drama,0,-0.2999999999999998,6
tt1045670,movie,Happy-Go-Lucky,Happy-Go-Lucky,0,2008,\N,118,"Comedy,Drama,Romance",7.0,36385,437521,"Happy-Go-Lucky, czyli co nas uszczęśliwia",Happy-Go-Lucky,2008,0,7,Wielka Brytania,Komedia,2012-6-4,3.5,comedy,0,0.0,7
tt1046947,movie,Last Chance Harvey,Last Chance Harvey,0,2008,\N,93,"Drama,Romance",6.6,19809,437619,Po prostu miłość,Last Chance Harvey,2008,0,7,USA,Romans,2011-10-22,3.5,romance,0,0.40000000000000036,7
tt0477080,movie,Unstoppable,Unstoppable,0,2010,\N,98,"Action,Thriller",6.7,176227,443610,Niepowstrzymany,Unstoppable,2010,0,7,USA,"Thriller, Akcja",2018-8-13,3.5,"thriller, action",0,0.2999999999999998,7
tt1032856,movie,The Band's Visit,Bikur Ha-Tizmoret,0,2007,\N,87,"Comedy,Drama,Music",7.5,12348,444536,Przyjeżdża orkiestra,Bikur Ha-Tizmoret,2007,0,6,"Francja, USA, Izrael","Dramat, Komedia, Muzyczny",2011-10-19,3.0,"drama, comedy, muzyczny",0,-1.5,8
tt1068680,movie,Yes Man,Yes Man,0,2008,\N,104,"Comedy,Romance",6.8,317068,450915,Jestem na tak,Yes Man,2008,0,5,"Australia, USA",Komedia rom.,2011-8-4,2.5,komedia rom.,0,-1.7999999999999998,7
tt1064932,movie,Welcome to the Sticks,Bienvenue chez les Ch'tis,0,2008,\N,106,"Comedy,Romance",7.1,37335,453743,Jeszcze dalej niż Północ,Bienvenue chez les Ch'tis,2008,0,8,Francja,Komedia,2011-10-20,4.0,comedy,0,0.9000000000000004,7
tt0988047,movie,Traitor,Traitor,0,2008,\N,114,"Action,Crime,Drama",7.0,53745,453795,Zdrajca,Traitor,2008,0,7,USA,Thriller,2011-9-5,3.5,thriller,0,0.0,7
tt1001508,movie,He's Just Not That Into You,He's Just Not That Into You,0,2009,\N,129,"Comedy,Drama,Romance",6.4,153166,453958,Kobiety pragną bardziej,He's Just Not That Into You,2009,0,5,"Holandia, Niemcy, USA","Dramat, Komedia, Romans",2014-6-16,2.5,"drama, comedy, romance",0,-1.4000000000000004,6
tt1068649,movie,I've Loved You So Long,Il y a longtemps que je t'aime,0,2008,\N,117,Drama,7.6,19228,457332,Kocham cię od tak dawna,Il y a longtemps que je t'aime,2008,0,8,"Francja, Niemcy",Dramat obyczajowy,2011-11-4,4.0,dramat obyczajowy,0,0.40000000000000036,8
tt0765010,movie,Brothers,Brothers,0,2009,\N,105,"Action,Drama,Thriller",7.1,105523,459973,Bracia,Brothers,2009,0,7,USA,Dramat,2011-11-2,3.5,drama,0,-0.09999999999999964,7
tt0814314,movie,Seven Pounds,Seven Pounds,0,2008,\N,123,Drama,7.6,274051,459974,Siedem dusz,Seven Pounds,2008,0,4,USA,Dramat,2011-8-4,2.0,drama,0,-3.5999999999999996,8
