tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0368891,movie,National Treasure,National Treasure,0,2004,\N,131,"Action,Adventure,Mystery",6.8,290476,103997,Skarb narodów,National Treasure,2004,0,3,USA,Przygodowy,2010-6-1,2010,1.5,['USA'],przygodowy,0,-3.8,7
tt0368447,movie,The Village,The Village,0,2004,\N,108,"Drama,Mystery,Thriller",6.5,232466,104010,Osada,The Village,2004,1,9,USA,Thriller,2013-5-18,2013,4.5,['USA'],thriller,0,2.5,6
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,\N,183,"Drama,War",8.1,292053,1045,Łowca jeleni,The Deer Hunter,1978,0,8,"USA, Wielka Brytania","Dramat, Wojenny",2010-6-1,2010,4.0,"['USA', 'GBR']","drama, war",0,-0.09999999999999964,8
tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,"Adventure,Comedy,Family",6.6,399997,104541,Charlie i fabryka czekolady,Charlie and the Chocolate Factory,2005,0,8,"USA, Wielka Brytania","Familijny, Fantasy",2010-6-1,2010,4.0,"['USA', 'GBR']","familijny, fantasy",0,1.4000000000000004,7
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,"Crime,Drama",8.3,666517,1046,Taksówkarz,Taxi Driver,1976,1,8,USA,Dramat,2011-1-15,2011,4.0,['USA'],drama,0,-0.3000000000000007,8
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,\N,118,"Crime,Drama,Thriller",8.6,1176398,1047,Milczenie owiec,The Silence of the Lambs,1991,0,8,USA,Thriller,2010-6-1,2010,4.0,['USA'],thriller,0,-0.5999999999999996,9
tt0054997,movie,The Hustler,The Hustler,0,1961,\N,134,"Drama,Sport",8.0,71865,10472,Bilardzista,The Hustler,1961,0,9,USA,Dramat,2019-10-6,2019,4.5,['USA'],drama,0,1.0,8
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,2170642,1048,Skazani na Shawshank,The Shawshank Redemption,1994,0,6,USA,Dramat,2010-6-1,2010,3.0,['USA'],drama,0,-3.3000000000000007,9
tt0110632,movie,Natural Born Killers,Natural Born Killers,0,1994,\N,118,"Crime,Drama",7.3,205032,1049,Urodzeni mordercy,Natural Born Killers,1994,0,7,USA,"Dramat, Thriller, Romans",2010-6-1,2010,3.5,['USA'],"drama, thriller, romance",0,-0.2999999999999998,7
tt0112573,movie,Braveheart,Braveheart,0,1995,\N,178,"Biography,Drama,History",8.3,912443,1052,Braveheart - Waleczne Serce,Braveheart,1995,0,4,USA,Dramat historyczny,2010-6-1,2010,2.0,['USA'],dramat historyczny,0,-4.300000000000001,8
tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,\N,137,"Action,Crime,Thriller",8.0,639509,105575,Kill Bill 2,Kill Bill: Vol. 2,2004,0,5,USA,"Thriller, Akcja",2010-6-1,2010,2.5,['USA'],"thriller, action",0,-3.0,8
