,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
517,626983,Igrzyska śmierci: Kosogłos. Część 1,The Hunger Games: Mockingjay Part 1,2014,,2,,USA,"Akcja, Sci-Fi",2015-2-26
518,546529,Ida,,2013,,7,,"Dania, Polska",Dramat,2015-2-26
519,705248,Ziarno prawdy,,2015,,7,,Polska,"Kryminał, Thriller",2015-2-26
520,298581,Wojna polsko-ruska,,2009,,2,,Polska,Dramat,2015-2-26
521,658317,Wielkie piękno,La grande bellezza,2013,,8,,"Francja, Włochy","Dramat, Komedia",2015-2-18
522,654721,Jupiter: Intronizacja,Jupiter Ascending,2015,,5,,"Australia, USA","Akcja, Sci-Fi",2015-2-17
523,698847,Whiplash,,2014,,7,,USA,"Dramat, Muzyczny",2015-2-16
524,656040,Snajper,American Sniper,2014,,8,,USA,"Biograficzny, Dramat, Wojenny",2015-2-15
525,8182,Nocny kowboj,Midnight Cowboy,1969,,7,,USA,Dramat,2015-2-14
526,691862,Teoria wszystkiego,The Theory of Everything,2014,,5,,Wielka Brytania,"Biograficzny, Dramat",2015-2-9
527,699881,Służby specjalne,,2014,,6,,Polska,Sensacyjny,2015-2-5
528,32367,Zmiana pasa,Changing Lanes,2002,,5,,USA,"Dramat, Thriller",2015-2-5
529,472866,Wielkie oczy,Big Eyes,2014,,5,,USA,"Biograficzny, Dramat",2015-2-3
530,670003,Uprowadzona 3,Taken 3,2014,,2,,Francja,Sensacyjny,2015-2-2
531,680709,Birdman,,2014,,8,,USA,"Dramat, Komedia",2015-1-21
532,36178,Intacto,,2001,,8,,Hiszpania,Sensacyjny,2015-1-19
533,698144,John Wick,,2014,,6,,"Chiny, USA","Thriller, Akcja",2015-1-17
534,629125,Boyhood,,2014,,6,,USA,Dramat,2015-1-17
535,663821,Głupi i głupszy bardziej,Dumb and Dumber To,2014,,3,,USA,Komedia,2015-1-12
536,662242,Hobbit: Bitwa Pięciu Armii,The Hobbit: The Battle of the Five Armies,2014,,3,,"Nowa Zelandia, USA","Fantasy, Przygodowy",2015-1-11
537,630714,Sędzia,The Judge,2014,,6,,USA,"Dramat, Kryminał",2015-1-4
538,691927,Magia w blasku księżyca,Magic in the Moonlight,2014,,5,,USA,Komedia,2015-1-4
539,702277,Motyl Still Alice,Still Alice,2014,,8,,"Francja, USA",Dramat,2015-1-2
540,676101,Brudny szmal,The Drop,2014,,7,,USA,"Dramat, Kryminał",2015-1-2
541,686651,Wywiad ze słońcem narodu,The Interview,2014,,3,,USA,"Komedia, Akcja",2014-12-30
542,261979,Holiday,The Holiday,2006,,5,,USA,Komedia rom.,2014-12-25
543,633417,Raport z Europy,Europa Report,2013,,7,,USA,"Thriller, Sci-Fi",2014-12-20
544,316785,Bez litości,The Equalizer,2014,,7,,USA,Thriller,2014-12-15
545,562579,Dobrzy ludzie,Good People,2014,,3,,"Dania, Szwecja, USA, Wielka Brytania",Thriller,2014-12-11
546,656778,Powiedzmy sobie wszystko,This Is Where I Leave You,2014,,6,,USA,"Dramat, Komedia",2014-12-8
547,636202,Panna Meadows,Miss Meadows,2014,,7,,USA,Dramat,2014-12-7
