ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
829669,Jestem matką,I Am Mother,2019,0,4,Australia,"Thriller, Sci-Fi",2019-6-20,2.0,I Am Mother,2019,"thriller, sci-fi"
794622,Przykładny obywatel,Cold Pursuit,2019,0,3,Wielka Brytania,"Dramat, Akcja",2019-6-20,1.5,Cold Pursuit,2019,"drama, action"
792243,Mój piękny syn,Beautiful Boy,2018,0,6,USA,Dramat,2019-5-25,3.0,Beautiful Boy,2018,drama
118261,Mean Creek,,2004,0,5,USA,"Dramat, Kryminał",2019-5-24,2.5,,2004,"drama, crime"
792556,John Wick 3,John Wick: Chapter 3 - Parabellum,2019,0,7,USA,"Thriller, Akcja",2019-5-20,3.5,John Wick: Chapter 3 - Parabellum,2019,"thriller, action"
785673,Kochanek idealny,Zoe,2018,0,4,USA,Romans,2019-5-13,2.0,Zoe,2018,romance
790542,Avengers: Koniec gry,Avengers: Endgame,2019,0,5,USA,"Akcja, Sci-Fi",2019-5-7,2.5,Avengers: Endgame,2019,"action, sci-fi"
766067,Dobry sąsiad,The Good Neighbor,2016,0,6,USA,Thriller,2019-5-4,3.0,The Good Neighbor,2016,thriller
790925,Oblicze mroku,Look Away,2018,0,6,USA,Thriller,2019-5-4,3.0,Look Away,2018,thriller
817829,Mroczne miejsce,Steel Country,2018,0,6,Wielka Brytania,Thriller,2019-4-30,3.0,Steel Country,2018,thriller
805279,Fatamorgana,Durante la tormenta,2018,0,3,Hiszpania,"Thriller, Sci-Fi",2019-4-17,1.5,Durante la tormenta,2018,"thriller, sci-fi"
827674,Cisza,The Silence,2019,0,4,"Niemcy, USA",Horror,2019-4-15,2.0,The Silence,2019,horror
799883,Wakacje,Holiday,2018,0,3,"Dania, Holandia, Szwecja","Dramat, Kryminał",2019-4-15,1.5,Holiday,2018,"drama, crime"
809563,Hawaje,Hawaii,2017,0,5,Rumunia,Dramat,2019-4-7,2.5,Hawaii,2017,drama
723206,Elle,,2016,0,4,"Belgia, Francja, Niemcy",Thriller,2019-4-6,2.0,,2016,thriller
740144,Iniemamocni 2,Incredibles 2,2018,0,7,USA,"Animacja, Przygodowy",2019-4-5,3.5,Incredibles 2,2018,"animacja, przygodowy"
780590,Siedem dni,Entebbe,2018,0,4,"USA, Wielka Brytania","Dramat, Kryminał, Thriller",2019-4-5,2.0,Entebbe,2018,"drama, crime, thriller"
560560,Potrójna granica,Triple Frontier,2019,0,2,USA,Kryminał,2019-4-5,1.0,Triple Frontier,2019,crime
