ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
7967,Na fali,Point Break,1991,,7,,USA,Sensacyjny,2019-8-8
209978,Zabójstwo Jesse'ego Jamesa przez tchórzliwego Roberta Forda,The Assassination of Jesse James by the Coward Robert Ford,2007,,7,,"Kanada, USA, Wielka Brytania","Biograficzny, Dramat, Western",2019-8-5
795456,Clara,,2018,,5,,"Kanada, USA","Romans, Sci-Fi",2019-8-5
804145,Styks,Styx,2018,,5,,"Austria, Niemcy",Dramat,2019-8-5
773277,Pusty i głupi gest,A Futile and Stupid Gesture,2018,,5,,USA,"Biograficzny, Komedia",2019-8-2
797588,Przedszkolanka,The Kindergarten Teacher,2018,,7,,USA,Dramat,2019-8-1
835700,Syn,El hijo,2019,,6,,Argentyna,Thriller,2019-7-30
785625,Kin. Zabójcza broń,Kin,2018,,6,,USA,"Akcja, Sci-Fi",2019-7-30
570380,Kupiliśmy zoo,We Bought a Zoo,2011,,6,,USA,"Dramat, Komedia",2019-7-28
794194,W deszczowy dzień w Nowym Jorku,A Rainy Day in New York,2019,,8,,USA,Komedia,2019-7-28
322665,Człowiek z Ziemi,The Man from Earth,2007,,5,,USA,"Dramat, Sci-Fi",2019-7-28
186910,Smętarz dla zwierzaków,Pet Sematary,2019,,3,,USA,Horror,2019-7-15
