,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Akcja,Animacja,Biblijny,Biograficzny,Czarna komedia,Dla młodzieży,Dokumentalizowany,Dokumentalny,Dramat,Dramat historyczny,Dramat obyczajowy,Dramat sądowy,Erotyczny,Familijny,Fantasy,Film-Noir,Gangsterski,Historyczny,Horror,Katastroficzny,Komedia,Komedia kryminalna,Komedia obycz.,Komedia rom.,Kostiumowy,Kryminał,Krótkometrażowy,Melodramat,Musical,Muzyczny,Nowele filmowe,Obyczajowy,Polityczny,Przygodowy,Psychologiczny,Religijny,Romans,Sci-Fi,Sensacyjny,Sportowy,Surrealistyczny,Szpiegowski,Thriller,Western,Wojenny,Arabia Saudyjska,Argentyna,Australia,Austria,Belgia,Brazylia,Bułgaria,Chile,Chiny,Cypr,Czechy,Dania,Estonia,Filipiny,Finlandia,Francja,Grecja,Hiszpania,Holandia,Hongkong,Indie,Indonezja,Irlandia,Islandia,Izrael,Japonia,Kanada,Kolumbia,Korea Południowa,Luksemburg,Malta,Meksyk,Niemcy,Norwegia,Nowa Zelandia,Polska,Portoryko,RPA,Rosja,Rumunia,Serbia,Szwajcaria,Szwecja,Słowacja,Tajlandia,Tajwan,Turcja,USA,Wielka Brytania,Węgry,Włochy,Zjednoczone Emiraty Arabskie,budget,boxoffice,topics_count,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
10,1047,Milczenie owiec,The Silence of the Lambs,1991,0,7,USA,Thriller,2011-8-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40000000,672806292,768.0,The Silence of the Lambs,1991,thriller,movie,The Silence of the Lambs,0,\N,118,"Crime,Drama,Thriller",8.6,1171144,0,-1.5999999999999996,9
11,1048,Skazani na Shawshank,The Shawshank Redemption,1994,0,8,USA,Dramat,2011-8-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63000000,463517383,2280.0,The Shawshank Redemption,1994,drama,movie,The Shawshank Redemption,0,\N,142,Drama,9.3,2161902,0,-1.3000000000000007,9
12,1055,Morderstwo pierwszego stopnia,Murder in the First,1995,0,7,"Francja, USA",Dramat sądowy,2011-11-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61097030,3983997,660.0,Murder in the First,1995,dramat sądowy,movie,Murder in the First,0,\N,122,"Drama,Thriller",7.3,25186,0,-0.2999999999999998,7
13,105575,Kill Bill 2,Kill Bill: Vol. 2,2004,0,7,USA,"Thriller, Akcja",2011-10-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11000000,80063635,110.0,Kill Bill: Vol. 2,2004,"thriller, action",movie,Kill Bill: Vol. 2,0,\N,137,"Action,Crime,Thriller",8.0,636749,0,-1.0,8
14,105715,Nawiedzony,Haunted,1995,0,8,"USA, Wielka Brytania",Horror,2013-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34210862,3185452,43.0,Haunted,1995,horror,movie,Haunted,0,\N,108,"Drama,Horror",6.2,5929,0,1.7999999999999998,6
15,1058,Fortepian,The Piano,1993,0,8,"Australia, Francja, Nowa Zelandia","Kostiumowy, Melodramat",2011-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61097030,219672332,535.0,The Piano,1993,"costume, melodramat",movie,The Piano,0,\N,121,"Drama,Music,Romance",7.6,74262,0,0.40000000000000036,8
16,105964,Polowanie na rekina,Shark Hunter,2001,1,2,USA,"Horror, Przygodowy, Sci-Fi",2016-8-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14000000,3606008,84.0,Shark Hunter,2001,"horror, przygodowy, sci-fi",movie,Shark Hunter,0,\N,94,"Action,Adventure,Horror",3.1,865,0,-1.1,3
17,106029,Siła strachu,Hide and Seek,2005,0,7,"Niemcy, USA",Thriller,2012-7-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,225000000,624026776,328.0,Hide and Seek,2005,thriller,movie,Hide and Seek,0,\N,101,"Drama,Horror,Mystery",6.0,78952,0,1.0,6
18,106376,Batman - Początek,Batman Begins,2005,0,5,"USA, Wielka Brytania","Akcja, Sci-Fi",2013-9-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,130000000,243843127,476.0,Batman Begins,2005,"action, sci-fi",movie,Batman Begins,0,\N,140,"Action,Adventure",8.2,1226181,0,-3.1999999999999993,8
19,106408,Terminal,The Terminal,2004,0,6,USA,Komedia rom.,2015-3-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61097030,219672332,456.0,The Terminal,2004,komedia rom.,movie,The Terminal,0,\N,128,"Comedy,Drama,Romance",7.3,374742,0,-1.2999999999999998,7
