ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,originalTitle,startYear,genre_eng
5276,Dyskretny urok burżuazji,Le charme discret de la bourgeoisie,1972,0,8,Francja,"Dramat, Komedia",2015-12-17,2015,4.0,['FRA'],Le charme discret de la bourgeoisie,1972,"drama, comedy"
33417,Łowca snów,Dreamcatcher,2003,0,7,"Australia, USA","Horror, Sci-Fi",2015-12-8,2015,3.5,"['AUS', 'USA']",Dreamcatcher,2003,"horror, sci-fi"
701517,Równoległa rzeczywistość,Coherence,2013,0,9,"USA, Wielka Brytania","Thriller, Sci-Fi",2015-11-22,2015,4.5,"['USA', 'GBR']",Coherence,2013,"thriller, sci-fi"
107974,Monster,,2003,0,6,"Niemcy, USA","Biograficzny, Dramat",2015-11-18,2015,3.0,"['DEU', 'USA']",,2003,"biographic, drama"
479701,Legendy sowiego królestwa: Strażnicy Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,0,7,"Australia, USA","Animacja, Przygodowy",2015-11-6,2015,3.5,"['AUS', 'USA']",Legend of the Guardians: The Owls of Ga'Hoole,2010,"animacja, przygodowy"
707441,Pentameron,Il racconto dei racconti,2015,0,7,"Francja, Wielka Brytania, Włochy","Fantasy, Romans",2015-11-5,2015,3.5,"['FRA', 'GBR', 'ITA']",Il racconto dei racconti,2015,"fantasy, romance"
10213,Święci z Bostonu,The Boondock Saints,1999,0,6,"Kanada, USA",Sensacyjny,2015-10-30,2015,3.0,"['CAN', 'USA']",The Boondock Saints,1999,sensacyjny
563042,Hercules,,2014,0,3,USA,Przygodowy,2015-10-21,2015,1.5,['USA'],,2014,przygodowy
563822,W nowym zwierciadle: Wakacje,Vacation,2015,0,8,USA,"Komedia, Przygodowy",2015-10-19,2015,4.0,['USA'],Vacation,2015,"comedy, przygodowy"
674,Miasto zaginionych dzieci,La Cité des enfants perdus,1995,0,6,"Francja, Hiszpania, Niemcy","Dramat, Fantasy, Przygodowy",2015-10-18,2015,3.0,"['FRA', 'ESP', 'DEU']",La Cité des enfants perdus,1995,"drama, fantasy, przygodowy"
11558,Wzgórze królików,Watership Down,1978,0,8,"Kanada, Wielka Brytania","Animacja, Dramat, Baśń",2015-10-16,2015,4.0,"['CAN', 'GBR']",Watership Down,1978,"animacja, drama, baśń"
7960,Młody Frankenstein,Young Frankenstein,1974,0,9,USA,"Horror, Komedia, Sci-Fi",2015-10-15,2015,4.5,['USA'],Young Frankenstein,1974,"horror, comedy, sci-fi"
715533,Marsjanin,The Martian,2015,0,7,"USA, Wielka Brytania",Sci-Fi,2015-10-15,2015,3.5,"['USA', 'GBR']",The Martian,2015,sci-fi
629795,"Boże, błogosław Amerykę",God Bless America,2011,0,8,USA,"Dramat, Komedia",2015-10-11,2015,4.0,['USA'],God Bless America,2011,"drama, comedy"
599050,ParaNorman,,2012,0,6,USA,"Animacja, Fantasy, Przygodowy",2015-10-11,2015,3.0,['USA'],,2012,"animacja, fantasy, przygodowy"
10109,Test pilota Pirxa,,1978,0,4,"Polska, ZSRR","Dramat, Sci-Fi",2015-10-8,2015,2.0,"['POL', 'UNK']",,1978,"drama, sci-fi"
465816,Frankenweenie,,2012,0,7,USA,"Animacja, Sci-Fi, Czarna komedia",2015-10-4,2015,3.5,['USA'],,2012,"animacja, sci-fi, czarna komedia"
603082,Likwidator,The Last Stand,2013,0,5,USA,Akcja,2015-10-4,2015,2.5,['USA'],The Last Stand,2013,action
7705,Miasteczko Halloween,The Nightmare Before Christmas,1993,0,9,USA,"Animacja, Fantasy, Musical",2015-10-3,2015,4.5,['USA'],The Nightmare Before Christmas,1993,"animacja, fantasy, musical"
625417,Carrie,,2013,0,4,USA,"Dramat, Horror",2015-10-2,2015,2.0,['USA'],,2013,"drama, horror"
363042,Hotel Transylwania,Hotel Transylvania,2012,0,7,USA,"Animacja, Familijny, Komedia",2015-10-1,2015,3.5,['USA'],Hotel Transylvania,2012,"animacja, familijny, comedy"
707107,Gość,The Guest,2014,0,3,"USA, Wielka Brytania","Thriller, Akcja",2015-9-22,2015,1.5,"['USA', 'GBR']",The Guest,2014,"thriller, action"
472800,Krwawe walentynki,My Bloody Valentine,2009,0,4,USA,Horror,2015-9-20,2015,2.0,['USA'],My Bloody Valentine,2009,horror
644179,Złodziej tożsamości,Identity Thief,2013,0,6,USA,Komedia kryminalna,2015-9-13,2015,3.0,['USA'],Identity Thief,2013,komedia kryminalna
622318,Noe: Wybrany przez Boga,Noah,2014,0,7,USA,"Dramat, Fantasy",2015-9-11,2015,3.5,['USA'],Noah,2014,"drama, fantasy"
9497,Dreszcze,Shivers,1975,0,6,Kanada,Horror,2015-9-10,2015,3.0,['CAN'],Shivers,1975,horror
656595,Przeznaczenie,Predestination,2014,0,7,Australia,"Thriller, Sci-Fi",2015-9-9,2015,3.5,['AUS'],Predestination,2014,"thriller, sci-fi"
1454,Siódma pieczęć,Det sjunde inseglet,1957,0,10,Szwecja,Dramat,2015-9-7,2015,5.0,['SWE'],Det sjunde inseglet,1957,drama
375787,Pojedynek,Sleuth,2007,0,8,"USA, Wielka Brytania","Dramat, Kryminał, Thriller",2015-9-7,2015,4.0,"['USA', 'GBR']",Sleuth,2007,"drama, crime, thriller"
486130,300: Początek imperium,300: Rise of an Empire,2014,0,5,USA,"Dramat, Akcja",2015-9-7,2015,2.5,['USA'],300: Rise of an Empire,2014,"drama, action"
548326,47 roninów,47 Ronin,2013,0,3,USA,"Fantasy, Przygodowy",2015-9-7,2015,1.5,['USA'],47 Ronin,2013,"fantasy, przygodowy"
741093,World of Tomorrow,,2015,0,6,USA,"Animacja, Krótkometrażowy",2015-9-6,2015,3.0,['USA'],,2015,"animacja, short"
557434,Głosy,The Voices,2014,0,9,"Niemcy, USA","Thriller, Komedia kryminalna",2015-9-1,2015,4.5,"['DEU', 'USA']",The Voices,2014,"thriller, komedia kryminalna"
366495,Łowca potworów,Jack Brooks: Monster Slayer,2007,0,6,Kanada,"Horror, Komedia",2015-8-31,2015,3.0,['CAN'],Jack Brooks: Monster Slayer,2007,"horror, comedy"
680728,Po ślubie,Líbánky,2013,0,8,"Czechy, Słowacja",Dramat,2015-8-31,2015,4.0,"['CZE', 'SVK']",Líbánky,2013,drama
530650,Porąbani,Tucker and Dale vs. Evil,2010,1,9,"Indie, Kanada, USA, Wielka Brytania",Czarna komedia,2015-8-29,2015,4.5,"['IND', 'CAN', 'USA', 'GBR']",Tucker and Dale vs. Evil,2010,czarna komedia
483659,Horda,La horde,2009,0,6,Francja,Horror,2015-8-29,2015,3.0,['FRA'],La horde,2009,horror
712595,Sinister 2,,2015,0,6,"USA, Wielka Brytania",Horror,2015-8-28,2015,3.0,"['USA', 'GBR']",,2015,horror
595351,Paddington,,2014,0,6,"Francja, Wielka Brytania","Familijny, Komedia, Przygodowy",2015-8-25,2015,3.0,"['FRA', 'GBR']",,2014,"familijny, comedy, przygodowy"
644064,Ewolucja planety małp,Dawn of the Planet of the Apes,2014,0,8,USA,"Dramat, Akcja, Sci-Fi",2015-8-25,2015,4.0,['USA'],Dawn of the Planet of the Apes,2014,"drama, action, sci-fi"
606670,American Mary,,2012,0,6,Kanada,Horror,2015-8-20,2015,3.0,['CAN'],,2012,horror
546529,Ida,,2013,0,7,"Dania, Polska",Dramat,2015-8-8,2015,3.5,"['DNK', 'POL']",,2013,drama
694348,To właśnie seks,The Little Death,2014,0,9,Australia,Komedia,2015-8-8,2015,4.5,['AUS'],The Little Death,2014,comedy
725467,Opętany,Pos eso,2014,0,7,Hiszpania,"Animacja, Horror, Komedia",2015-7-15,2015,3.5,['ESP'],Pos eso,2014,"animacja, horror, comedy"
712739,Party Girl,,2014,0,7,Francja,Dramat,2015-7-15,2015,3.5,['FRA'],,2014,drama
699194,Nowa dziewczyna,Une nouvelle amie,2014,0,3,Francja,Dramat,2015-7-7,2015,1.5,['FRA'],Une nouvelle amie,2014,drama
648179,Don Jon,,2013,0,6,USA,"Dramat, Komedia",2015-7-6,2015,3.0,['USA'],,2013,"drama, comedy"
186343,Terminator: Ocalenie,Terminator Salvation,2009,0,7,"Niemcy, USA, Wielka Brytania, Włochy","Akcja, Sci-Fi",2015-7-2,2015,3.5,"['DEU', 'USA', 'GBR', 'ITA']",Terminator Salvation,2009,"action, sci-fi"
512784,Terminator: Genisys,Terminator Genisys,2015,0,6,USA,"Akcja, Sci-Fi",2015-7-2,2015,3.0,['USA'],Terminator Genisys,2015,"action, sci-fi"
707286,Co robimy w ukryciu,What We Do in the Shadows,2014,0,9,"Nowa Zelandia, USA","Horror, Komedia, Dokumentalizowany",2015-6-26,2015,4.5,"['NZL', 'USA']",What We Do in the Shadows,2014,"horror, comedy, dokumentalizowany"
556929,Jurassic World,,2015,0,7,USA,"Przygodowy, Sci-Fi",2015-6-22,2015,3.5,['USA'],,2015,"przygodowy, sci-fi"
